,Trigram,Freq
0,column data frame,581.5795351551496
1,create new column,318.883664661811
2,value data frame,270.36402642651
3,list data frame,259.49038466842876
4,use datum table,235.4747480308568
5,data frame duplicate,226.18078425006692
6,column datum table,221.82516439987612
7,could find function,214.33978886888454
8,create new variable,205.45447836957558
9,data frame column,197.5173152980525
10,row data frame,196.3400572956257
11,data frame use,182.50932619421513
12,row datum frame,166.98583542327052
13,data frame base,165.9485697067615
14,user define function,157.96224866641145
15,subset data frame,154.8521366945268
16,add new column,146.5782205163128
17,create data frame,141.828093296394
18,data frame list,138.51530534809504
19,variable data frame,130.5104477089987
20,name data frame,121.64066263752706
21,new column base,119.78744538991633
22,base value column,117.99362692647905
23,row datum table,114.00969012324379
24,multiple datum frame,105.47078086760588
25,merge datum frame,104.5067434356257
26,error object find,104.08040664145297
27,data frame row,99.19989231781733
28,value true false,96.26906737456498
29,datum table duplicate,93.09762009364466
30,true false need,93.06958283436
31,error could find,92.17013849220103
32,column datum frame,91.06520078190061
33,base column value,88.68877738979975
34,use apply function,88.56074099696603
35,datum frame duplicate,87.72273321271554
36,column base column,87.31691355283905
37,value column base,85.09990509888455
38,different data frame,84.76384623210676
39,group datum table,83.33481523230529
40,column base condition,83.03647679367761
41,value multiple column,82.64746918266661
42,datum table column,81.43573232839215
43,column base value,81.43104872113061
44,data frame value,79.34186022722135
45,multiple data frame,78.597955808568
46,large data frame,78.57908958205357
47,new datum frame,77.26941773319834
48,large datum set,75.53292849194933
49,read text file,74.14711755050779
